Open,High,Low,Close,Volume,Date
45.8,45.8,43.65,44.5,8639000,2024-02-21
44.5,44.5,43.2,43.35,5991000,2024-02-22
43.85,43.9,42.6,42.65,5521000,2024-02-23
43.6,44.7,43.5,44.5,7071000,2024-02-26
44.5,44.8,43.2,43.4,5473000,2024-02-27
43.8,44.3,43.6,44.25,3766000,2024-02-29
44.5,44.5,43.75,43.9,3104000,2024-03-01
44.5,45.55,44.25,45.3,9594000,2024-03-04
45.85,46.3,44.55,44.85,6967000,2024-03-05
44.85,45.9,44.3,45.9,5710000,2024-03-06
46.65,49.2,45.3,46.2,32084000,2024-03-07
46.2,46.2,43.35,44.0,12988000,2024-03-08
43.2,43.6,42.9,42.9,4776000,2024-03-11
42.85,43.7,42.4,43.7,3467000,2024-03-12
44.1,45.1,43.55,43.7,5289000,2024-03-13
43.65,44.35,42.95,44.25,3838000,2024-03-14
44.25,44.6,43.5,43.5,3233000,2024-03-15
43.5,43.5,43.5,43.5,0,2024-03-18
45.65,47.3,45.3,46.25,12213000,2024-03-19
46.25,46.25,46.25,46.25,0,2024-03-20
50.3,51.9,49.7,50.0,36706000,2024-03-21
50.8,51.0,48.7,49.0,15539000,2024-03-22
49.0,49.0,49.0,49.0,0,2024-03-25
49.2,49.8,47.15,47.4,9259000,2024-03-26
47.8,50.8,47.7,50.1,15886000,2024-03-27
50.8,52.5,49.3,49.55,33535000,2024-03-28
50.3,50.3,48.5,49.85,11559000,2024-03-29
50.0,50.2,48.4,48.55,10683000,2024-04-01
49.15,49.3,47.85,47.85,7637000,2024-04-02
47.85,48.2,47.0,47.9,6252000,2024-04-03
48.55,49.3,47.55,48.7,11434000,2024-04-08
49.0,50.3,48.75,49.6,14010000,2024-04-09
50.0,50.4,49.05,49.05,10587000,2024-04-10
48.95,49.0,47.85,48.1,7265000,2024-04-11
48.35,49.65,48.35,48.75,7041000,2024-04-12
49.6,52.0,48.75,48.75,30765000,2024-04-15
48.95,49.7,47.25,47.3,14622000,2024-04-16
47.6,49.7,47.6,48.95,10098000,2024-04-17
48.6,48.8,47.55,47.8,7036000,2024-04-18
47.2,47.2,45.1,46.25,10583000,2024-04-19
45.6,46.2,44.15,44.2,7041000,2024-04-22
45.0,45.3,43.9,44.15,2583000,2024-04-23
44.8,45.45,44.6,45.1,2812000,2024-04-24
45.1,45.1,44.25,44.4,2752000,2024-04-25
44.8,45.15,44.4,44.4,2214000,2024-04-26
44.5,45.0,44.1,45.0,3059000,2024-04-29
44.85,44.95,44.5,44.5,1966000,2024-04-30
44.3,44.9,44.0,44.7,3277000,2024-05-02
45.1,45.35,43.4,43.4,5092000,2024-05-03
43.5,43.65,42.6,43.15,4943000,2024-05-06
43.4,44.1,42.55,42.8,5318000,2024-05-07
43.15,44.45,42.8,44.45,5188000,2024-05-08
44.55,44.55,42.9,43.0,3663000,2024-05-09
43.2,43.3,42.5,42.95,2806000,2024-05-10
44.05,44.8,43.6,44.2,4084000,2024-05-13
43.8,44.5,43.8,44.0,2577000,2024-05-14
44.45,44.9,44.35,44.6,3980000,2024-05-15
45.2,45.75,44.9,44.9,7358000,2024-05-16
45.0,45.0,43.7,43.8,8687000,2024-05-17
43.55,45.45,43.55,44.5,13573000,2024-05-20
45.0,47.15,44.8,46.95,21128000,2024-05-21
47.8,47.8,46.7,47.8,14152000,2024-05-22
47.8,47.8,46.4,47.1,11709000,2024-05-23
46.7,47.35,46.25,46.7,6022000,2024-05-24
47.3,48.05,46.8,47.65,6746000,2024-05-27
47.95,48.85,47.45,48.15,9909000,2024-05-28
48.6,51.5,48.15,50.3,25955000,2024-05-29
50.2,52.3,50.2,50.4,25806000,2024-05-30
51.0,51.7,48.7,49.75,14383000,2024-05-31
49.9,49.95,48.75,48.85,8145000,2024-06-03
49.4,50.2,48.8,48.9,6579000,2024-06-04
49.0,49.6,47.45,47.75,6993000,2024-06-05
48.5,48.85,47.35,47.75,5991000,2024-06-06
48.15,49.8,48.1,49.45,7805000,2024-06-07
49.9,49.9,48.4,48.75,5767000,2024-06-11
49.0,49.15,48.15,48.55,3435000,2024-06-12
49.0,53.4,48.85,53.4,56393000,2024-06-13
53.9,53.9,51.9,52.2,27546000,2024-06-14
53.9,57.3,53.7,55.7,36072000,2024-06-17
56.7,58.0,55.6,56.6,29419000,2024-06-18
58.4,61.6,57.1,58.0,55380000,2024-06-19
58.3,61.4,56.7,60.2,41041000,2024-06-20
60.0,66.2,59.1,66.2,61308000,2024-06-21
