Open,High,Low,Close,Adj Close,Volume,Date
43.09,43.822,42.944,43.042,38.124,7323862,2020-10-28
42.262,42.7,41.677,42.7,37.822,7809042,2020-10-29
42.7,42.993,41.531,41.677,36.915,4592287,2020-10-30
41.969,42.213,40.556,41.287,36.57,9196883,2020-11-02
41.677,42.067,41.531,41.677,36.915,4704094,2020-11-03
42.213,42.993,41.628,42.895,37.995,7203849,2020-11-04
42.895,42.895,41.921,42.505,37.649,6037570,2020-11-05
42.895,43.529,42.505,42.603,37.736,9051226,2020-11-06
43.237,44.601,43.042,43.578,38.599,12923436,2020-11-09
43.919,44.504,42.895,43.09,38.167,9263557,2020-11-10
43.578,44.212,43.432,44.065,39.031,7825454,2020-11-11
45.186,45.723,44.455,44.504,39.42,24166693,2020-11-12
44.163,44.406,43.578,44.017,38.988,7453106,2020-11-13
44.455,44.601,43.578,43.773,38.772,7673643,2020-11-16
44.212,46.6,43.773,46.064,40.801,44558623,2020-11-17
46.308,47.282,45.333,45.381,40.197,53803717,2020-11-18
46.113,46.259,45.43,45.625,40.413,14950320,2020-11-19
45.625,45.674,44.553,44.748,39.635,13140896,2020-11-20
44.65,45.235,44.553,44.845,39.722,6734055,2020-11-23
45.138,45.284,43.87,43.919,38.901,9226630,2020-11-24
44.309,44.796,43.87,44.212,39.16,5974999,2020-11-25
44.504,44.991,44.309,44.796,39.679,5440583,2020-11-26
44.943,45.674,44.601,45.43,40.24,8900441,2020-11-27
45.82,47.087,45.528,46.308,41.017,30317096,2020-11-30
47.185,48.062,46.308,46.697,41.362,24620075,2020-12-01
46.795,46.941,45.82,45.82,40.585,9682063,2020-12-02
46.015,46.064,45.235,45.43,40.24,6268364,2020-12-03
45.625,46.746,45.43,46.405,41.103,12588016,2020-12-04
47.575,48.55,45.43,46.308,41.017,27136242,2020-12-07
46.064,46.405,45.333,45.625,40.413,6913561,2020-12-08
46.015,46.6,45.528,45.723,40.499,8906595,2020-12-09
44.553,45.528,44.26,44.65,39.549,9972351,2020-12-10
44.553,45.235,42.944,44.455,39.376,9394853,2020-12-11
43.87,44.212,43.334,43.773,38.772,5756514,2020-12-14
43.87,44.017,42.408,42.457,37.606,8057274,2020-12-15
42.895,43.627,42.847,43.09,38.167,4246609,2020-12-16
43.383,43.529,41.969,42.31,37.477,6815089,2020-12-17
42.213,43.968,42.213,43.334,38.383,6761750,2020-12-18
43.334,44.065,42.993,43.773,38.772,5810879,2020-12-21
43.773,44.309,42.408,42.652,37.779,5404682,2020-12-22
42.749,43.285,42.408,42.749,37.865,2887489,2020-12-23
43.09,44.212,42.993,43.87,38.858,4919501,2020-12-24
44.163,44.358,43.675,43.724,38.729,3432162,2020-12-25
43.87,44.065,43.237,43.383,38.427,3222909,2020-12-28
43.724,44.114,43.188,43.237,38.297,6455051,2020-12-29
